Date,Bitcoin,Ethereum,Ripple,Bitfinex,Cardano,NEO,Stellar,Litecoin,EOS,NEM,Petrole,Or,Gaz,Euro,Livre
1-1-2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-1-2018,-2.508336958,2.129565478,3.045685279,-2.254903949,-0.234354044,4.093333333,36.94915254,-0.858387991,-0.78023407,-0.980392157,0,-0.038290703,0,0.083312505,-0.059193489
3-1-2018,9.406603212,14.12965569,7.881773399,10.6760305,8.213168806,15.28115794,14.89273927,12.47224936,8.78112713,11.88118812,0,1.049567149,0,0.37459419,0.59968905
4-1-2018,2.970162441,9.691652937,24.20091324,0.211569952,46.61897974,16.98888889,59.06642729,-3.284513047,13.61445783,54.86725664,2.599768174,-0.26535254,-0.822368421,-0.35660972,-0.53723874
5-1-2018,0.059405941,-0.287684841,0.367647059,-8.132306528,1.351218773,-3.979485231,-21.58013544,-2.481733948,0.424178155,-8.571428571,-0.096836669,0.678069175,-4.577114428,0.441115273,0.273769885
6-1-2018,11.5574906,2.498672442,-8.424908425,1.383155326,-10.50811363,-6.083086053,-8.592400691,3.063915282,-1.900739176,-2.5,0,-0.000755047,-2.25929788,-0.323168711,0
7-1-2018,1.490154337,4.313591942,6,6.17916015,0.028516643,6.150605582,8.376633601,13.47926735,5.81270183,4.487179487,0,-0.000755053,0.924608819,0,0
8-1-2018,-5.517683389,11.11222056,4.553584906,-0.126510245,-0.812001101,1.071534874,2.48438181,-2.626869945,3.357070193,10.42944785,-0.468497577,-0.196315313,4.369274137,0,0.147579693
9-1-2018,-8.103108041,1.209785801,-13.37835253,-4.995643753,-11.03986204,-1.060174733,-12.95718741,-6.200382241,-5.511811024,-12.64166667,0.503165071,-0.045392646,-1.89061445,-0.515421066,-0.014736222
10-1-2018,-3.194202121,13.83920022,-14.58333333,-1.237497917,-10.32654107,26.00456394,-7.553745928,-3.256142001,-3.860416667,-8.11917708,2.406330749,-0.597941266,7.949070888,-0.242333083,-0.213706706
11-1-2018,3.251074449,-3.095584627,-5.163414634,20.28013078,-2.777984843,-3.149606299,-1.696557556,0.854597003,21.35133378,-5.02567865,0.141933449,0.319805071,0,0.0670129,-0.258474263
12-1-2018,-11.05740181,-8.893172664,-1.012781936,-14.64398457,-12.8146804,-13.00813008,0.021505762,-8.879161479,0.642857143,-9.1956536,0.11023622,0.462998102,-0.414408671,0.728277248,0.236931734
13-01-2018,4.121376812,10.73914388,4.600771125,6.283127183,30.79471169,14.95327103,20.4063715,3.79903041,22.42725337,11.7914269,0,-0.000755515,-0.224071703,1.37122912,0
14-01-2018,2.870813397,9.777249006,-1.142573274,2.864990058,-1.265184455,12.60162602,-1.87797619,9.731657609,15.94202899,3.671450417,1.337108699,1.066040088,0.449149824,0,0
